,X,Y,Name,description,altitudeMode,City,VistaIPCC,Vista_ID,VistaDate,Longitude,Source,State,FID,Latitude,VistaName,VistaSType,Field_1
0,-117.069169034823,33.8849076176925,M & H Transport Inc,,clampToGround,MORENO VALLEY,3A1 &amp; 3A2 Enteric Fermentation and Manure Management,DAF001764,11/10/2019,-117.069169,RAFIQ,CA,0,33.884908,M &amp; H Transport Inc,Dairy,M &amp; H Transport Inc
1,-119.315396164801,35.4688760928574,Dairy Name Unknown,,clampToGround,SHAFTER,3A1 &amp; 3A2 Enteric Fermentation and Manure Management,DAF001802,11/10/2019,-119.315396,RAFIQ,CA,1,35.468876,Dairy Name Unknown,Dairy,Dairy Name Unknown
2,-120.731059304243,37.6279470698015,Dairy Name Unknown,,clampToGround,HICKMAN,3A1 &amp; 3A2 Enteric Fermentation and Manure Management,DAF001834,11/10/2019,-120.731059,RAFIQ,CA,2,37.627947,Dairy Name Unknown,Dairy,Dairy Name Unknown
3,-120.85552393668,37.6768342189241,Dairy Name Unknown,,clampToGround,Modesto,3A1 &amp; 3A2 Enteric Fermentation and Manure Management,DAF001835,11/10/2019,-120.855524,RAFIQ,CA,3,37.676834,Dairy Name Unknown,Dairy,Dairy Name Unknown
4,-120.833077636324,37.7002629737573,Dairy Name Unknown,,clampToGround,OAKDALE,3A1 &amp; 3A2 Enteric Fermentation and Manure Management,DAF001836,11/10/2019,-120.833078,RAFIQ,CA,4,37.700263,Dairy Name Unknown,Dairy,Dairy Name Unknown
5,-120.599652007234,37.729490072409,Dairy Name Unknown,,clampToGround,WATERFORD,3A1 &amp; 3A2 Enteric Fermentation and Manure Management,DAF001837,11/10/2019,-120.599652,RAFIQ,CA,5,37.72949,Dairy Name Unknown,Dairy,Dairy Name Unknown
6,-120.878468217734,37.7267122932378,Dairy Name Unknown,,clampToGround,Oakdale,3A1 &amp; 3A2 Enteric Fermentation and Manure Management,DAF001838,11/10/2019,-120.878468,RAFIQ,CA,6,37.726712,Dairy Name Unknown,Dairy,Dairy Name Unknown
7,-117.018060553951,33.771745640449,Dairy Name Unknown,,clampToGround,HEMET,3A1 &amp; 3A2 Enteric Fermentation and Manure Management,DAF001839,11/10/2019,-117.018061,RAFIQ,CA,7,33.771746,Dairy Name Unknown,Dairy,Dairy Name Unknown
8,-121.01567985614,37.463050758186,Dairy Name Unknown,,clampToGround,CROWS LANDING,3A1 &amp; 3A2 Enteric Fermentation and Manure Management,DAF001841,11/10/2019,-121.01568,RAFIQ,CA,8,37.463051,Dairy Name Unknown,Dairy,Dairy Name Unknown
9,-121.068817757933,37.5247289836557,Dairy Name Unknown,,clampToGround,MODESTO,3A1 &amp; 3A2 Enteric Fermentation and Manure Management,DAF001842,11/10/2019,-121.068818,RAFIQ,CA,9,37.524729,Dairy Name Unknown,Dairy,Dairy Name Unknown
10,-121.142616615165,37.6917478337956,Dairy Name Unknown,,clampToGround,MODESTO,3A1 &amp; 3A2 Enteric Fermentation and Manure Management,DAF001843,11/10/2019,-121.142617,RAFIQ,CA,10,37.691748,Dairy Name Unknown,Dairy,Dairy Name Unknown
11,-121.21296365315,37.7100239247644,Dairy Name Unknown,,clampToGround,MANTECA,3A1 &amp; 3A2 Enteric Fermentation and Manure Management,DAF001844,11/10/2019,-121.212964,RAFIQ,CA,11,37.710024,Dairy Name Unknown,Dairy,Dairy Name Unknown
12,-121.070219650816,37.7584957966437,Dairy Name Unknown,,clampToGround,RIPON,3A1 &amp; 3A2 Enteric Fermentation and Manure Management,DAF001845,11/10/2019,-121.07022,RAFIQ,CA,12,37.758496,Dairy Name Unknown,Dairy,Dairy Name Unknown
13,-121.518215445087,37.767491501032,Dairy Name Unknown,,clampToGround,TRACY,3A1 &amp; 3A2 Enteric Fermentation and Manure Management,DAF001846,11/10/2019,-121.518215,RAFIQ,CA,13,37.767492,Dairy Name Unknown,Dairy,Dairy Name Unknown
14,-121.381455319407,38.1774587988845,Dairy Name Unknown,,clampToGround,LODI,3A1 &amp; 3A2 Enteric Fermentation and Manure Management,DAF001849,11/10/2019,-121.381455,RAFIQ,CA,14,38.177459,Dairy Name Unknown,Dairy,Dairy Name Unknown
15,-121.056870844614,37.9058541466516,Dairy Name Unknown,,clampToGround,STOCKTON,3A1 &amp; 3A2 Enteric Fermentation and Manure Management,DAF001850,11/10/2019,-121.056871,RAFIQ,CA,15,37.905854,Dairy Name Unknown,Dairy,Dairy Name Unknown
16,-120.981606772335,37.8345139936259,Dairy Name Unknown,,clampToGround,ESCALON,3A1 &amp; 3A2 Enteric Fermentation and Manure Management,DAF001851,11/10/2019,-120.981607,RAFIQ,CA,16,37.834514,Dairy Name Unknown,Dairy,Dairy Name Unknown
17,-120.939994087257,37.8616431259296,Dairy Name Unknown,,clampToGround,FARMINGTON,3A1 &amp; 3A2 Enteric Fermentation and Manure Management,DAF001852,11/10/2019,-120.939994,RAFIQ,CA,17,37.861643,Dairy Name Unknown,Dairy,Dairy Name Unknown
18,-120.938502882702,37.8965448028005,Dairy Name Unknown,,clampToGround,FARMINGTON,3A1 &amp; 3A2 Enteric Fermentation and Manure Management,DAF001853,11/10/2019,-120.938503,RAFIQ,CA,18,37.896545,Dairy Name Unknown,Dairy,Dairy Name Unknown
